Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00012944164455253,-6.22723427114169E-05,-0.0040271420328129,0,0,0,21.7638613943257,0.454081742173464,1.28167250078841E-11,-7.47987584093224E-08,0.895403122553941,1.11445829124319E-10,1.34925284828622,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/base_link.STL,,RGM3 v3.1外-1;J2601.01-001 底板-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.00109627025871673,0.000183356751178587,0.036691204506678,0,0,0,0.107757812286884,0.000114594535776428,-4.46886769547332E-07,3.062202763908E-07,0.000116461362113387,8.53460714901329E-09,0.000212642925491531,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/lidar_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/lidar_link.STL,,32L-1,Coordinate System2,Axis_lidar_joint,lidar_joint,fixed,0.299141092446627,-0.00804855452219633,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
waist_base,5.74354334004212E-06,0.0415941681094265,0.00888296360321353,0,0,0,1.2946424823519,0.00988326066506698,-7.55814217124132E-08,5.42274064754992E-07,0.0124431832125947,-0.00102062149082876,0.00658734084893131,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_base.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_base.STL,,Base^双臂总装-1,Coordinate System10,,waist_baseJoint,fixed,-0.15642,0,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
waist_link1,0.00051654243980348,0.123998463214463,0.0255445311920045,0,0,0,2.6161640614807,0.0531693789000188,-0.000149293634003275,-1.73818050722807E-05,0.01712174915631,-0.00417798715830039,0.0413433881632305,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link1.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link1.STL,,Link1^双臂总装-1,Coordinate System3,Axis2,waist_joint1,revolute,0,0.085004,-0.038804,0,0,0,waist_base,0,0,-1,0,0,0,1.57,,,,,,,,
waist_link2,0.00027645368158602,0.115617426784295,0.00641703247261108,0,0,0,2.01092959225819,0.038745673958895,-7.93834409693271E-05,-6.03351978096232E-06,0.00601594119878968,-0.00249807245898995,0.0365983543759957,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link2.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link2.STL,,Link2^双臂总装-1,Coordinate System4,Axis3,waist_joint2,revolute,0.0014113,0.33999,0.028215,0,0,0,waist_link1,0,0,-1,0,0,0,1.57,,,,,,,,
waist_link3,-0.00230171535637425,0.284729690037247,0.0133442227879418,0,0,0,7.46035263489036,0.0915634195376429,0.00279979142983046,0.00324538431984484,0.0540817966652998,-0.00173986009603366,0.068148647006873,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link3.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/waist_link3.STL,,Link3^双臂总装-1,Coordinate System5,Axis4,waist_joint3,revolute,0.00082778,0.34,0,0,0,0,waist_link2,0,0,-1,0,0,0,1.57,,,,,,,,
leftArm_link,0.0013462564935911,-0.20412558171511,-0.115233157081514,0,0,0,0.900253813427799,0.00123043106952152,-3.99068453182813E-05,1.05004800194408E-06,0.000460828759765276,-7.32177083300114E-06,0.00112927966858661,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/leftArm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/leftArm_link.STL,,NERO夹爪版外发-2,Coordinate System11,Axis6,leftArm_joint,revolute,0.0076949,0.42752,-0.086398,0,0,0,waist_link3,-0.0016361,0,1,0,0,0,3.14,,,,,,,,
leftSensor_link,0.0290897275635817,-0.0391723252917062,0.000257031991900136,0,0,0,0.254777372478428,0.00011272201620718,2.28684953755612E-07,-1.25670676105187E-07,0.000234682185717791,-3.13265306010448E-07,0.000152969661912388,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/leftSensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/leftSensor_link.STL,,LeftForceAndVisionSensor^双臂总装-2,Coordinate System15,,leftSensor_joint,fixed,-0.0012639,-0.613,-0.1381,0,0,0,leftArm_link,0,0,0,,,,,,,,,,,,
rightArm_link,-0.00233853532680905,-0.204116893019419,0.115233095247331,0,0,0,0.900257809789524,0.00123079920662264,3.61713957415206E-05,1.08477457228899E-06,0.00046047795220906,7.31985843623512E-06,0.00112927645753683,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/rightArm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/rightArm_link.STL,,NERO夹爪版外发-1,Coordinate System12,Axis7,rightArm_joint,revolute,0.0073775,0.42752,0.1076,0,0,0,waist_link3,0.0016361,0,-1,0,0,0,3.14,,,,,,,,
rightSensor_link,0.0310964836861434,-0.0407631172972753,0.000274739563998858,0,0,0,0.238356407740794,0.000109358451523035,2.20927734350434E-07,-1.25670676106778E-07,0.000228126842592842,-3.13265306009478E-07,0.000149606116081087,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/rightSensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://esrobo_waist_with_head/meshes/rightSensor_link.STL,,RightForceAndVisionSensor^双臂总装-1,Coordinate System13,,rightSensor_joint,fixed,-0.0017158,-0.613,0.1381,0,0,0,rightArm_link,0,0,0,,,,,,,,,,,,
